ticker,exchange,icb2,icb3,icb4,market_cap,adtv_20d,status,reject_reason,as_of,source,data_status,filter_stage,reason_label,trigger_metric,trigger_value,threshold_or_cutoff
PMW,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,NƯỚC,,21415000.0,REJECTED,LOW_LIQUIDITY,2026-07-01,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PND,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,PHÂN PHỐI XĂNG DẦU & KHÍ ĐỐT,,2322000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PNG,UPCOM,DU LỊCH VÀ GIẢI TRÍ,DU LỊCH & GIẢI TRÍ,NHÀ HÀNG VÀ QUÁN BAR,,10917500.0,REJECTED,LOW_LIQUIDITY,2026-06-30,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PNP,UPCOM,HÀNG & DỊCH VỤ CÔNG NGHIỆP,VẬN TẢI,VẬN TẢI THỦY,,10163500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PNT,UPCOM,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,12091500.0,REJECTED,LOW_LIQUIDITY,2026-06-09,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
POB,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,PHÂN PHỐI XĂNG DẦU & KHÍ ĐỐT,,6783000.0,REJECTED,LOW_LIQUIDITY,2026-06-30,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
POS,UPCOM,DẦU KHÍ,"THIẾT BỊ, DỊCH VỤ VÀ PHÂN PHỐI DẦU KHÍ",THIẾT BỊ VÀ DỊCH VỤ DẦU KHÍ,,138535000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
POV,UPCOM,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,PHÂN PHỐI XĂNG DẦU & KHÍ ĐỐT,,13780500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PPH,UPCOM,HÀNG CÁ NHÂN & GIA DỤNG,HÀNG CÁ NHÂN,HÀNG MAY MẶC,,228867140.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PPI,UPCOM,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,0.0,REJECTED,LOW_LIQUIDITY,2024-07-25,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
